exp_id,(match_percentage) for 1/30/2025,(match_percentage) for 2/18/2025,(match_percentage) for 2/5/2025,UniqueConcatenate(Protocol)
195766,82,70,94,Affinity_Wilmington
195805,81,57,94,Affinity_Wilmington
195810,79,58,81,Affinity_Wilmington
195817,85,71,96,Affinity_Wilmington
195851,85,79,96,Affinity_Wilmington
195852,79,57,89,Affinity_Wilmington
195858,70,61,96,Affinity_Wilmington
195909,82,73,95,Affinity_Wilmington
195922,90,86,86,Affinity_Wilmington
195926,81,72,93,Affinity_Wilmington
195934,89,85,96,Affinity_Wilmington
195967,85,81,95,Affinity_Wilmington
195983,90,75,96,Affinity_Wilmington
196059,80,76,96,Affinity_Wilmington
196069,77,58,96,Affinity_Wilmington
196095,88,85,91,Affinity_Wilmington
196116,90,87,96,Affinity_Wilmington
196117,89,81,95,Affinity_Wilmington
196120,82,78,77,Affinity_Wilmington
196127,91,86,84,Affinity_Wilmington
196142,90,88,96,Affinity_Wilmington
196184,90,78,89,Affinity_Wilmington
196204,88,80,96,Affinity_Wilmington
196215,74,57,88,Affinity_Wilmington
196224,81,59,95,Affinity_Wilmington
196225,77,60,78,Affinity_Wilmington
196272,82,76,75,Affinity_Wilmington
196297,69,33,90,Affinity_Wilmington
196317,85,79,95,Affinity_Wilmington
196321,82,70,96,Affinity_Wilmington
196322,82,77,75,Affinity_Wilmington
196344,88,84,96,Affinity_Wilmington
196387,86,78,78,Affinity_Wilmington
196388,87,66,84,Affinity_Wilmington
196457,90,85,93,Affinity_Wilmington
196473,79,67,94,Affinity_Wilmington
196475,78,70,93,Affinity_Wilmington
196476,79,72,82,Affinity_Wilmington
196478,81,75,80,Affinity_Wilmington
196487,92,83,96,Affinity_Wilmington
196542,79,72,96,Affinity_Wilmington
196549,85,78,96,Affinity_Wilmington
196553,78,65,95,Affinity_Wilmington
196556,85,76,91,Affinity_Wilmington
196559,76,72,96,Affinity_Wilmington
196574,85,62,88,Affinity_Wilmington
196582,90,78,96,Affinity_Wilmington
